name;description;unit_price;unit;tax_name
1010009332;NECESSAIRE BEGE AVATIM P;20.89;unit;
1010009450;NECESSAIRE BOAS SENSACOES - KIT COM 02;15.94;unit;
1010009348;NECESSAIRE SELETO OCEAN;21.71;unit;
1071810210;OLEO DE BANHO ACUCENA 210 ML;16.10;unit;
1071340120;"OLEO DE BANHO E MASSAGEM LEMONGRASS 120 ML - RITOS
";8.13;unit;
1070620120;"OLEO DE BANHO E MASSAGEM MURU MURU 120 ML - RITOS
";8.13;unit;
1070740120;"OLEO DE BANHO E MASSAGEM YLANG YLANG 120 ML - RITOS
";8.13;unit;
1071330120;"OLEO DE BANHO E MASSAGEM ZIMBRO 120 ML - RITOS
";8.13;unit;
1071500200;OLEO DE BANHO GIGI 210 ML;16.10;unit;
1071550300;OLEO EM CREME COPAIBA & ANDIROBA 300 G;14.63;unit;
1071030300;"OLEO EM CREME CUPUACU & CASTANHA DO BRASIL 300 G
";14.63;unit;
1071270300;OLEO EM CREME MARACUJA & LIMA 300 G;14.63;unit;
1071280300;OLEO EM CREME PERA & LIMAO 300 G;14.63;unit;
1072010010;"OLEO ESSENCIAL ALECRIM 10 ML - RITOS
";14.63;unit;
1071990010;"OLEO ESSENCIAL AMAZONGRASS 10 ML - RITOS
";12.60;unit;
1072000010;"OLEO ESSENCIAL LARANJA 10 ML - RITOS
";12.20;unit;
1072030010;"OLEO ESSENCIAL LAVANDA 10 ML - RITOS
";15.04;unit;
1071980010;"OLEO ESSENCIAL MELALEUCA 10 ML - RITOS
";13.01;unit;
1072020010;"OLEO ESSENCIAL MENTA PIPERITA 10 ML - RITOS
";12.20;unit;
1070000120;"OLEO VEGETAL DE SEMENTE DE UVA 120 ML - RITOS
";9.76;unit;
1141480150;"PASTA AGRIDOCE ESFOLIANTE PARA OS PES - SANTO PE
";8.13;unit;
1141480060;PASTA AGRIDOCE ESFOLIANTE PARA OS PES 60 G;0.00;unit;
1060009376;PASTA GRAFITE PORTFOLIO DE FRAGANCIAS;0.00;unit;
1060009040;PASTA VERDE PORTFOLIO DE FRAGRANCIAS;0.00;unit;
1141489197;"PEDILUVIO BANHO RELAXANTE PARA OS PES 150 G - SANTO PE
";8.13;unit;
1020800500;PERFUME PARA INTERIORES ALECRIM & CAPIM LIMAO 500 ML;10.08;unit;
1020551100;PERFUME PARA INTERIORES ALECRIM 1100 ML;39.02;unit;
1020550200;PERFUME PARA INTERIORES ALECRIM 200 ML;15.45;unit;
1020550040;PERFUME PARA INTERIORES ALECRIM 40 ML;6.10;unit;
1020581100;PERFUME PARA INTERIORES AMBAR 1100 ML;39.02;unit;
1020580200;PERFUME PARA INTERIORES AMBAR 200 ML;15.45;unit;
1020580040;PERFUME PARA INTERIORES AMBAR 40 ML;6.10;unit;
1021050500;PERFUME PARA INTERIORES AMORA & PITANGA 500ML;10.08;unit;
1021290090;PERFUME PARA INTERIORES AVADORE 90 ML;22.76;unit;
1021071101;PERFUME PARA INTERIORES BAMBU 1100 ML;39.02;unit;
1021070201;PERFUME PARA INTERIORES BAMBU 200 ML;15.45;service;
1021070040;PERFUME PARA INTERIORES BAMBU 40 ML;6.10;unit;
1021080150;PERFUME PARA INTERIORES BUQUE DE PEONIAS 150 ML;25.20;unit;
1020021100;PERFUME PARA INTERIORES CASCAS & FOLHAS 1100 ML;39.02;unit;
1020020200;PERFUME PARA INTERIORES CASCAS & FOLHAS 200 ML;15.45;unit;
1020020040;PERFUME PARA INTERIORES CASCAS & FOLHAS 40 ML;6.10;unit;
1020110200;PERFUME PARA INTERIORES CURUMIM 200 ML;15.45;unit;
1021640250;"PERFUME PARA INTERIORES FIGO E PISTACHE 250 ML - SABOR & AR
";11.38;unit;
1020491100;PERFUME PARA INTERIORES FLOR DE ALGODAO 1100 ML;39.02;unit;
1020490200;PERFUME PARA INTERIORES FLOR DE ALGODAO 200 ML;15.45;unit;
1020490040;PERFUME PARA INTERIORES FLOR DE ALGODAO 40 ML;6.10;unit;
1021620250;"PERFUME PARA INTERIORES FOLHAS DE PIMENTA 250ML - SABOR & AR
";11.38;unit;
1021680250;"PERFUME PARA INTERIORES GENGIBRE E ROMA 250 ML - SABOR & AR
";11.38;unit;
1021040500;PERFUME PARA INTERIORES LAVANDA & AMBAR 500ML;10.08;unit;
1020251100;PERFUME PARA INTERIORES MARRUA 1100 ML;39.02;unit;
1020250200;PERFUME PARA INTERIORES MARRUA 200 ML;15.45;unit;
1020250040;PERFUME PARA INTERIORES MARRUA 40 ML;6.10;unit;
1020231100;PERFUME PARA INTERIORES PITANGA 1100 ML;39.02;unit;
1020230200;PERFUME PARA INTERIORES PITANGA 200 ML;15.45;unit;
1020230040;PERFUME PARA INTERIORES PITANGA 40 ML;6.10;unit;
1020641100;PERFUME PARA INTERIORES PROVENCE 1100 ML;39.02;unit;
1020640200;PERFUME PARA INTERIORES PROVENCE 200 ML;15.45;unit;
1020640040;PERFUME PARA INTERIORES PROVENCE 40 ML;6.10;unit;
1020190150;PERFUME PARA INTERIORES TERRA MADRE 150 ML;25.20;unit;
