loja;codigo;descricao;familia;subfam;unidade;iva;datacriacao;retalho;fundo;letra;vendersemstock;precovenda;codbarras;iva2
2;1040009371;VARETAS ESCURAS G (PCT COM 8 UND);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;8.94;7899891307021;23.0
2;1040009372;VARETAS RATTAN G (PCT COM 8 UND);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;4.88;7899891307038;23.0
2;1040009373;VARETAS BRANCAS G (PCT COM 8 UND);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;8.94;7899891307045;23.0
2;1040020030;ESSENCIA CONCENTRADA CASCAS & FOLHAS 30 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.38;7898464623315;23.0
2;1040190350;DIFUSOR DE ESSENCIAS TERRA MADRE 350 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;64.23;7898464623056;23.0
2;1040230030;ESSENCIA CONCENTRADA PITANGA 30 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.38;7898464625326;23.0
2;1040250030;ESSENCIA CONCENTRADA MARRUA 30 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.38;7898464625289;23.0
2;1040490030;ESSENCIA CONCENTRADA FLOR DE ALGODAO 30 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.38;7898464623322;23.0
2;1040550030;ESSENCIA CONCENTRADA ALECRIM 30 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.38;7898464625272;23.0
2;1040580030;ESSENCIA CONCENTRADA AMBAR 30 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.38;7898464625302;23.0
2;1040640030;ESSENCIA CONCENTRADA PROVENCE 30 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.38;7898464625296;23.0
2;1040800100;DIFUSOR DE ESSENCIAS ALECRIM & CAPIM LIMAO 100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.79;7899891301937;23.0
2;1041040100;DIFUSOR DE ESSENCIAS LAVANDA & AMBAR 100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.79;7899891301944;23.0
2;1041050100;DIFUSOR DE ESSENCIAS AMORA & PITANGA 100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.79;7899891301920;23.0
2;1041070030;ESSENCIA CONCENTRADA BAMBU 30 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.38;7899891308875;23.0
2;1041080350;DIFUSOR DE ESSENCIAS BUQUE DE PEONIAS 350 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;64.23;7898464626385;23.0
2;1041089145;VARETAS BRANCAS BUQUE DE PEONIAS (PCT COM 12 UND);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.99;7899891300800;23.0
2;1041089145;VARETAS BRANCAS M (PCT COM 12 UND);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.99;7899891300800;23.0
2;1041290100;DIFUSOR DE ESSENCIAS AVADORE 100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;33.98;7898464625913;23.0
2;1041420200;DIFUSOR DE ESSENCIAS CONDESSA 200ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;44.72;7898464625678;23.0
2;1050009130;KIT EMULSAO SUAVIZANTE PARA AS MAOS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.79;7898464629911;23.0
2;1050009358;DIFUSOR DE ESSENCIAS JARDIM BRASIL;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;22.36;7899891306390;23.0
2;1050009387;KIT MINI AGUAS NATURAIS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;34.55;7899891308967;23.0
2;1050019310;KIT DIA DIA LAVANDA;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;10.16;7899891305201;23.0
2;1050019329;KIT BANHO DE LAVANDA DIA DIA;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;8.13;7899891305621;23.0
2;1050689421;KIT AUTOCUIDADO AMORA SILVESTRE - SERIE 1;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.18;7899891312513;23.0
2;1050739305;KIT AUTOCUIDADO MANGA VERDE;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;5.28;7899891304402;23.0
2;1050739421;KIT AUTOCUIDADO MANGA VERDE - SERIE 1;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.18;7899891312520;23.0
2;1050789310;KIT DIA DIA MARINA;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;10.16;7899891305232;23.0
2;1050789329;KIT BANHO MARINA DIA DIA;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;8.13;7899891305669;23.0
2;1050799310;KIT DIA DIA TAPAJOS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;10.16;7899891305218;23.0
2;1050799329;KIT BANHO TAPAJOS DIA DIA;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;8.13;7899891305645;23.0
2;1051039137;KIT BANHO DE BEM ESTAR - CUPUACU E CASTANHA DO BRASIL;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;23.01;7898464628983;23.0
2;1051119378;KIT BONISSIMO - MASCULINO;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;23.58;7899891308202;23.0
2;1051369305;KIT AUTOCUIDADO CUPUACU;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;5.28;7899891304426;23.0
2;1051369421;KIT AUTOCUIDADO CUPUACU - SERIE 1;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.18;7899891312537;23.0
2;1051499380;KIT SELETO 2 - MASCULINO;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;24.80;7899891308226;23.0
2;1051509309;KIT MINI GIGI;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;14.63;7899891305003;23.0
2;1051529352;KIT MURU MURU & PATAUA;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;14.63;7899891306161;23.0
2;1051559252;KIT BANHO DE BEM ESTAR - COPAIBA & ANDIROBA;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;23.01;7899891302149;23.0
2;1051609379;KIT BONISSIMO BLACK 2 - MASCULINO;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;23.58;7899891308219;23.0
2;1060009040;PASTA VERDE PORTFOLIO DE FRAGRANCIAS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7898464627733;23.0
2;1060009054;TAG PRESENTE (PACOTE C/ 100 UN);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;18.29;7898464627801;23.0
2;1060009141;SACOLA P VERDE;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891300589;23.0
2;1060009142;SACOLA M VERDE;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891300596;23.0
2;1060009201;AVENTAL XADREZ ECO;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;35.77;7899891301661;23.0
2;1060009247;SACOLA P VERDE ALCA GORGURAO;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891302170;23.0
